Velocity Conversion: Feet per Second (fps) to Millimeters per Second (mm/s)
================================================================================

       FPS |            MM/S |   Meters/Second
    2840.0 |        865632.0 |          865.63
    2608.0 |        794918.4 |          794.92
    2387.0 |        727557.6 |          727.56
    2177.0 |        663549.6 |          663.55
    1978.0 |        602894.4 |          602.89
    1790.0 |        545592.0 |          545.59
    2950.0 |        899160.0 |          899.16
    2757.0 |        840333.6 |          840.33
    2572.0 |        783945.6 |          783.95
    2395.0 |        729996.0 |          730.00
    2224.0 |        677875.2 |          677.88
    2061.0 |        628192.8 |          628.19
    2770.0 |        844296.0 |          844.30
    2613.0 |        796442.4 |          796.44
    2461.0 |        750112.8 |          750.11
    2315.0 |        705612.0 |          705.61
    2173.0 |        662330.4 |          662.33
    2037.0 |        620877.6 |          620.88
    2925.0 |        891540.0 |          891.54
    2763.0 |        842162.4 |          842.16
    2607.0 |        794613.6 |          794.61
    2455.0 |        748284.0 |          748.28
    2309.0 |        703783.2 |          703.78
    2167.0 |        660501.6 |          660.50
    2850.0 |        868680.0 |          868.68
    2704.0 |        824179.2 |          824.18
    2562.0 |        780897.6 |          780.90
    2424.0 |        738835.2 |          738.84
    2291.0 |        698296.8 |          698.30
    2162.0 |        658977.6 |          658.98
    3150.0 |        960120.0 |          960.12
    2933.0 |        893978.4 |          893.98
    2728.0 |        831494.4 |          831.49
    2531.0 |        771448.8 |          771.45
    2343.0 |        714146.4 |          714.15
    2162.0 |        658977.6 |          658.98
    3240.0 |        987552.0 |          987.55
    3033.0 |        924458.4 |          924.46
    2837.0 |        864717.6 |          864.72
    2649.0 |        807415.2 |          807.42
    2469.0 |        752551.2 |          752.55
    2295.0 |        699516.0 |          699.52
    3000.0 |        914400.0 |          914.40
    2792.0 |        851001.6 |          851.00
    2593.0 |        790346.4 |          790.35
    2403.0 |        732434.4 |          732.43
    2221.0 |        676960.8 |          676.96
    2047.0 |        623925.6 |          623.93
    3035.0 |        925068.0 |          925.07
    2815.0 |        858012.0 |          858.01
    2605.0 |        794004.0 |          794.00
    2405.0 |        733044.0 |          733.04
    2214.0 |        674827.2 |          674.83
    2031.0 |        619048.8 |          619.05
    3100.0 |        944880.0 |          944.88
    2915.0 |        888492.0 |          888.49
    2737.0 |        834237.6 |          834.24
    2567.0 |        782421.6 |          782.42
    2403.0 |        732434.4 |          732.43
    2244.0 |        683971.2 |          683.97
    2975.0 |        906780.0 |          906.78
    2827.0 |        861669.6 |          861.67
    2682.0 |        817473.6 |          817.47
    2542.0 |        774801.6 |          774.80
    2406.0 |        733348.8 |          733.35
    2274.0 |        693115.2 |          693.12
    3030.0 |        923544.0 |          923.54
    2856.0 |        870508.8 |          870.51
    2689.0 |        819607.2 |          819.61
    2527.0 |        770229.6 |          770.23
    2372.0 |        722985.6 |          722.99
    2222.0 |        677265.6 |          677.27
    3050.0 |        929640.0 |          929.64
    2839.0 |        865327.2 |          865.33
    2639.0 |        804367.2 |          804.37
    2447.0 |        745845.6 |          745.85
    2263.0 |        689762.4 |          689.76
